,Year,co2_total_sector,sector_maior_emissao,co2_total_energia,energia_maior_emissao,co2_total_country,country_maior_emissao,total_idh,total_gdp
0,2022,31817.07,Power Industry,12581.83,Coal,31816.6365112941,Andorra,121619.0,4518763.31
1,2021,31838.71,Power Industry,12415.47,Coal,31838.6231793472,Andorra,120469.0,4433579.66
2,2020,30216.99,Power Industry,11701.93,Coal,30217.1484491225,Andorra,120536.0,4169488.93
3,2019,31445.6,Power Industry,12055.27,Coal,31445.4808650081,Andorra,121383.0,4438490.77
4,2018,31354.22,Power Industry,12161.0,Coal,31354.232086562,Andorra,120741.0,4370918.55
5,2017,30478.57,Power Industry,11765.3,Coal,30478.6512770527,Andorra,120102.0,4293647.84
6,2016,30050.08,Power Industry,11514.14,Coal,30049.7972926105,Andorra,119472.0,4225173.76
7,2015,29982.05,Power Industry,11402.07,Coal,29981.8472260103,Andorra,118837.0,4167401.58
8,2014,30197.31,Power Industry,11537.81,Coal,30197.1285913968,Andorra,118181.0,4110550.29
9,2013,29974.73,Power Industry,11335.98,Coal,29974.6147490799,Andorra,117428.0,4065768.79
10,2012,29158.39,Power Industry,10977.88,Coal,29158.4111262325,Andorra,116622.0,4037822.14
11,2011,28649.65,Power Industry,10771.26,Coal,28649.838771868,Andorra,115803.0,4015597.2
12,2010,27700.73,Power Industry,10280.54,Coal,27700.5898133191,Andorra,114224.0,3916201.93
13,2009,25965.37,Power Industry,9633.37,Coal,25965.2937326721,Andorra,112388.0,3840246.56
14,2008,26124.68,Power Industry,9788.99,Coal,26124.6543875506,Andorra,111757.0,3962120.99
15,2007,25898.7,Power Industry,9781.16,Coal,25898.6390636384,Andorra,110800.0,3934810.9
16,2006,24836.26,Power Industry,9193.47,Coal,24836.2849593545,Andorra,108932.0,3817434.04
17,2005,23959.48,Power Industry,8818.43,Coal,23959.6983930799,Andorra,107908.0,3584202.79
18,2004,23009.24,Power Industry,8417.61,Coal,23009.1976632587,Andorra,103605.0,3484653.36
19,2003,21918.25,Power Industry,8108.45,Coal,21918.2912328911,Andorra,101930.0,3346781.77
20,2002,20848.33,Power Industry,7646.52,Coal,20848.3904888065,Andorra,99865.0,3271068.08
21,2001,20538.45,Power Industry,7338.55,Coal,20538.4329334602,Andorra,98238.0,3237014.35
22,2000,20262.78,Power Industry,7227.92,Coal,20262.905732544,Andorra,97283.0,3189741.94
