,Country,Year,Energy Source,Renewable,Generation_TWh,Emissions_Mt,gCO2_per_kWh
0,Argentina,2024,Gas,False,79.59,44.32,556.9
1,Argentina,2024,Oil,False,9.13,6.01,658.3
2,Argentina,2024,Solar,True,3.95,0.19,48.1
3,Argentina,2024,Wind,True,16.17,0.12,7.4
4,Argentina,2024,Bioenergy,True,2.36,0.51,216.1
5,Argentina,2024,Coal,False,1.21,1.05,867.8
6,Argentina,2024,Nuclear,False,10.45,0.05,4.8
7,Argentina,2024,Hydro,True,24.32,0.58,23.8
8,Armenia,2024,Bioenergy,True,0.0,0.0,
9,Armenia,2024,Solar,True,0.88,0.04,45.5
10,Armenia,2024,Other renewables excluding bioenergy,True,0.0,0.0,
11,Armenia,2024,Oil,False,0.0,0.0,
12,Armenia,2024,Nuclear,False,2.65,0.01,3.8
13,Armenia,2024,Hydro,True,1.79,0.04,22.3
14,Armenia,2024,Gas,False,3.52,2.07,588.1
15,Armenia,2024,Coal,False,0.0,0.0,
16,Armenia,2024,Wind,True,0.0,0.0,
17,Australia,2024,Oil,False,5.63,3.7,657.2
18,Australia,2024,Solar,True,49.84,2.37,47.6
19,Australia,2024,Wind,True,32.71,0.31,9.5
20,Australia,2024,Bioenergy,True,3.25,0.7,215.4
21,Australia,2024,Hydro,True,13.53,0.32,23.7
22,Australia,2024,Coal,False,127.37,112.13,880.3
23,Australia,2024,Gas,False,47.57,34.86,732.8
24,Austria,2024,Gas,False,7.11,3.18,447.3
25,Austria,2024,Bioenergy,True,5.09,1.1,216.1
26,Austria,2024,Coal,False,0.0,0.0,
27,Austria,2024,Hydro,True,44.76,1.06,23.7
28,Austria,2024,Nuclear,False,0.0,0.0,
29,Austria,2024,Oil,False,3.32,2.18,656.6
30,Austria,2024,Other renewables excluding bioenergy,True,0.0,0.0,
31,Austria,2024,Solar,True,8.82,0.42,47.6
32,Austria,2024,Wind,True,9.44,0.12,12.7
33,Azerbaijan,2024,Bioenergy,True,0.11,0.02,181.8
34,Azerbaijan,2024,Solar,True,0.41,0.02,48.8
35,Azerbaijan,2024,Other renewables excluding bioenergy,True,0.0,0.0,
36,Azerbaijan,2024,Oil,False,0.11,0.07,636.4
37,Azerbaijan,2024,Nuclear,False,0.0,0.0,
38,Azerbaijan,2024,Wind,True,0.08,0.0,0.0
39,Azerbaijan,2024,Hydro,True,2.9,0.07,24.1
40,Azerbaijan,2024,Gas,False,25.66,18.35,715.1
41,Azerbaijan,2024,Coal,False,0.0,0.0,
42,Bangladesh,2024,Nuclear,False,0.0,0.0,
43,Bangladesh,2024,Oil,False,18.53,12.19,657.9
44,Bangladesh,2024,Other renewables excluding bioenergy,True,0.0,0.0,
45,Bangladesh,2024,Wind,True,0.0,0.0,
46,Bangladesh,2024,Solar,True,1.42,0.07,49.3
47,Bangladesh,2024,Bioenergy,True,0.0,0.0,
48,Bangladesh,2024,Coal,False,22.95,18.71,815.3
49,Bangladesh,2024,Gas,False,70.07,48.1,686.5
50,Bangladesh,2024,Hydro,True,0.89,0.02,22.5
51,Belarus,2024,Solar,True,0.23,0.01,43.5
52,Belarus,2024,Wind,True,0.19,0.0,0.0
53,Belarus,2024,Bioenergy,True,0.57,0.12,210.5
54,Belarus,2024,Coal,False,0.03,0.03,1000.0
55,Belarus,2024,Gas,False,26.96,13.71,508.5
56,Belarus,2024,Hydro,True,0.42,0.01,23.8
57,Belarus,2024,Nuclear,False,16.54,0.09,5.4
58,Belarus,2024,Oil,False,0.37,0.24,648.6
59,Belarus,2024,Other renewables excluding bioenergy,True,0.0,0.0,
60,Belgium,2024,Bioenergy,True,3.51,0.76,216.5
61,Belgium,2024,Coal,False,0.0,0.0,
62,Belgium,2024,Gas,False,13.98,5.53,395.6
63,Belgium,2024,Hydro,True,0.42,0.01,23.8
64,Belgium,2024,Solar,True,8.93,0.42,47.0
65,Belgium,2024,Wind,True,14.01,0.18,12.8
66,Belgium,2024,Nuclear,False,31.41,0.15,4.8
67,Belgium,2024,Oil,False,2.67,1.76,659.2
68,Belgium,2024,Other renewables excluding bioenergy,True,0.0,0.0,
69,Bolivia,2024,Coal,False,0.0,0.0,
70,Bolivia,2024,Bioenergy,True,0.41,0.09,219.5
71,Bolivia,2024,Oil,False,0.21,0.14,666.7
72,Bolivia,2024,Other renewables excluding bioenergy,True,0.0,0.0,
73,Bolivia,2024,Solar,True,0.34,0.02,58.8
74,Bolivia,2024,Wind,True,0.44,0.0,0.0
75,Bolivia,2024,Nuclear,False,0.0,0.0,
76,Bolivia,2024,Hydro,True,3.5,0.08,22.9
77,Bolivia,2024,Gas,False,7.45,5.45,731.5
78,Brazil,2024,Coal,False,15.65,13.64,871.6
79,Brazil,2024,Solar,True,74.68,3.55,47.5
80,Brazil,2024,Wind,True,107.81,0.83,7.7
81,Brazil,2024,Hydro,True,414.84,9.86,23.8
82,Brazil,2024,Gas,False,47.78,28.65,599.6
83,Brazil,2024,Bioenergy,True,56.42,12.2,216.2
84,Brazil,2024,Oil,False,12.34,8.12,658.0
85,Brazil,2024,Nuclear,False,15.74,0.07,4.4
86,Bulgaria,2024,Nuclear,False,15.52,0.07,4.5
87,Bulgaria,2024,Oil,False,0.2,0.13,650.0
88,Bulgaria,2024,Hydro,True,2.9,0.07,24.1
89,Bulgaria,2024,Gas,False,1.86,0.76,408.6
90,Bulgaria,2024,Coal,False,8.01,8.12,1013.7
91,Bulgaria,2024,Bioenergy,True,1.82,0.39,214.3
92,Bulgaria,2024,Wind,True,1.48,0.02,13.5
93,Bulgaria,2024,Solar,True,5.34,0.25,46.8
94,Bulgaria,2024,Other renewables excluding bioenergy,True,0.0,0.0,
95,Cambodia,2024,Other renewables excluding bioenergy,True,0.0,0.0,
96,Cambodia,2024,Oil,False,0.5,0.33,660.0
97,Cambodia,2024,Nuclear,False,0.0,0.0,
98,Cambodia,2024,Hydro,True,5.3,0.13,24.5
99,Cambodia,2024,Gas,False,0.0,0.0,
100,Cambodia,2024,Coal,False,8.82,7.3,827.7
101,Cambodia,2024,Bioenergy,True,0.03,0.01,333.3
102,Cambodia,2024,Wind,True,0.0,0.0,
103,Cambodia,2024,Solar,True,1.07,0.05,46.7
104,Canada,2024,Wind,True,45.12,0.43,9.5
105,Canada,2024,Solar,True,8.21,0.39,47.5
106,Canada,2024,Oil,False,5.37,3.53,657.4
107,Canada,2024,Nuclear,False,86.18,0.4,4.6
108,Canada,2024,Hydro,True,346.73,8.24,23.8
109,Canada,2024,Gas,False,98.52,71.11,721.8
110,Canada,2024,Coal,False,26.12,23.18,887.4
111,Canada,2024,Bioenergy,True,10.93,2.36,215.9
112,Chile,2024,Other renewables excluding bioenergy,True,0.31,0.01,32.3
113,Chile,2024,Solar,True,19.92,0.96,48.2
114,Chile,2024,Oil,False,2.42,1.69,698.3
115,Chile,2024,Nuclear,False,0.0,0.0,
116,Chile,2024,Hydro,True,26.41,0.63,23.9
117,Chile,2024,Gas,False,10.35,6.09,588.4
118,Chile,2024,Bioenergy,True,5.17,1.19,230.2
119,Chile,2024,Coal,False,14.1,13.05,925.5
120,Chile,2024,Wind,True,10.58,0.08,7.6
121,China,2024,Coal,False,5859.87,5318.92,907.7
122,China,2024,Bioenergy,True,208.3,45.03,216.2
123,China,2024,Gas,False,302.91,134.58,444.3
124,China,2024,Hydro,True,1354.43,32.18,23.8
125,China,2024,Nuclear,False,445.17,2.47,5.5
126,China,2024,Oil,False,76.22,50.15,658.0
127,China,2024,Solar,True,834.1,39.64,47.5
128,China,2024,Wind,True,991.6,13.17,13.3
129,Colombia,2024,Nuclear,False,0.0,0.0,
130,Colombia,2024,Gas,False,14.73,9.45,641.5
131,Colombia,2024,Coal,False,13.26,11.6,874.8
132,Colombia,2024,Solar,True,3.21,0.15,46.7
133,Colombia,2024,Bioenergy,True,2.27,0.49,215.9
134,Colombia,2024,Wind,True,0.0,0.0,
135,Colombia,2024,Hydro,True,50.84,1.21,23.8
136,Colombia,2024,Other renewables excluding bioenergy,True,0.0,0.0,
137,Colombia,2024,Oil,False,3.2,2.11,659.4
138,Costa Rica,2024,Nuclear,False,0.0,0.0,
139,Costa Rica,2024,Oil,False,0.74,0.49,662.2
140,Costa Rica,2024,Bioenergy,True,0.06,0.01,166.7
141,Costa Rica,2024,Other renewables excluding bioenergy,True,1.56,0.06,38.5
142,Costa Rica,2024,Solar,True,0.08,0.0,0.0
143,Costa Rica,2024,Wind,True,1.26,0.01,7.9
144,Costa Rica,2024,Hydro,True,8.68,0.21,24.2
145,Costa Rica,2024,Gas,False,0.0,0.0,
146,Costa Rica,2024,Coal,False,0.0,0.0,
147,Croatia,2024,Wind,True,2.47,0.03,12.1
148,Croatia,2024,Gas,False,3.32,1.41,424.7
149,Croatia,2024,Hydro,True,6.79,0.16,23.6
150,Croatia,2024,Oil,False,0.0,0.0,
151,Croatia,2024,Bioenergy,True,1.04,0.22,211.5
152,Croatia,2024,Other renewables excluding bioenergy,True,0.03,0.0,0.0
153,Croatia,2024,Solar,True,0.86,0.04,46.5
154,Croatia,2024,Coal,False,0.85,0.82,964.7
155,Croatia,2024,Nuclear,False,0.0,0.0,
156,Cyprus,2024,Oil,False,4.36,2.87,658.3
157,Cyprus,2024,Bioenergy,True,0.05,0.01,200.0
158,Cyprus,2024,Coal,False,0.0,0.0,
159,Cyprus,2024,Gas,False,0.0,0.0,
160,Cyprus,2024,Hydro,True,0.0,0.0,
161,Cyprus,2024,Nuclear,False,0.0,0.0,
162,Cyprus,2024,Other renewables excluding bioenergy,True,0.0,0.0,
163,Cyprus,2024,Solar,True,1.11,0.05,45.0
164,Cyprus,2024,Wind,True,0.2,0.0,0.0
165,Czechia,2024,Bioenergy,True,5.18,1.12,216.2
166,Czechia,2024,Wind,True,0.68,0.01,14.7
167,Czechia,2024,Solar,True,4.0,0.19,47.5
168,Czechia,2024,Other renewables excluding bioenergy,True,0.02,0.0,0.0
169,Czechia,2024,Oil,False,0.38,0.25,657.9
170,Czechia,2024,Nuclear,False,29.75,0.14,4.7
171,Czechia,2024,Hydro,True,2.61,0.06,23.0
172,Czechia,2024,Gas,False,3.73,1.59,426.3
173,Czechia,2024,Coal,False,26.67,26.86,1007.1
174,Denmark,2024,Oil,False,0.85,0.56,658.8
175,Denmark,2024,Bioenergy,True,6.67,1.44,215.9
176,Denmark,2024,Coal,False,2.49,2.29,919.7
177,Denmark,2024,Gas,False,0.9,0.34,377.8
178,Denmark,2024,Hydro,True,0.02,0.0,0.0
179,Denmark,2024,Nuclear,False,0.0,0.0,
180,Denmark,2024,Wind,True,20.53,0.26,12.7
181,Denmark,2024,Solar,True,3.99,0.19,47.6
182,Denmark,2024,Other renewables excluding bioenergy,True,0.0,0.0,
183,Ecuador,2024,Hydro,True,23.01,0.55,23.9
184,Ecuador,2024,Nuclear,False,0.0,0.0,
185,Ecuador,2024,Oil,False,8.34,5.49,658.3
186,Ecuador,2024,Other renewables excluding bioenergy,True,0.0,0.0,
187,Ecuador,2024,Solar,True,0.04,0.0,0.0
188,Ecuador,2024,Wind,True,0.08,0.0,0.0
189,Ecuador,2024,Coal,False,0.0,0.0,
190,Ecuador,2024,Bioenergy,True,0.52,0.11,211.5
191,Ecuador,2024,Gas,False,1.01,0.77,762.4
192,El Salvador,2024,Other renewables excluding bioenergy,True,1.64,0.06,36.6
193,El Salvador,2024,Gas,False,0.0,0.0,
194,El Salvador,2024,Coal,False,0.0,0.0,
195,El Salvador,2024,Bioenergy,True,0.8,0.17,212.5
196,El Salvador,2024,Solar,True,1.09,0.05,45.9
197,El Salvador,2024,Hydro,True,2.29,0.05,21.8
198,El Salvador,2024,Nuclear,False,0.0,0.0,
199,El Salvador,2024,Oil,False,0.5,0.33,660.0
200,El Salvador,2024,Wind,True,0.08,0.0,0.0
201,Estonia,2024,Other renewables excluding bioenergy,True,0.0,0.0,
202,Estonia,2024,Bioenergy,True,1.32,0.29,219.7
203,Estonia,2024,Gas,False,0.02,0.01,500.0
