ID_Country,Name,Region
1,Aruba,Latin America & Caribbean
2,Afghanistan,South Asia
3,Angola,Sub-Saharan Africa
4,Albania,Europe & Central Asia
5,Andorra,Europe & Central Asia
6,United Arab Emirates,Middle East & North Africa
7,Argentina,Latin America & Caribbean
8,Armenia,Europe & Central Asia
9,American Samoa,East Asia & Pacific
10,Antigua and Barbuda,Latin America & Caribbean
11,Australia,East Asia & Pacific
12,Austria,Europe & Central Asia
13,Azerbaijan,Europe & Central Asia
14,Burundi,Sub-Saharan Africa
15,Belgium,Europe & Central Asia
16,Benin,Sub-Saharan Africa
17,Burkina Faso,Sub-Saharan Africa
18,Bangladesh,South Asia
19,Bulgaria,Europe & Central Asia
20,Bahrain,Middle East & North Africa
21,Bahamas The,Latin America & Caribbean
22,Bosnia and Herzegovina,Europe & Central Asia
23,Belarus,Europe & Central Asia
24,Belize,Latin America & Caribbean
25,Bermuda,North America
26,Bolivia,Latin America & Caribbean
27,Brazil,Latin America & Caribbean
28,Barbados,Latin America & Caribbean
29,Brunei Darussalam,East Asia & Pacific
30,Bhutan,South Asia
31,Botswana,Sub-Saharan Africa
32,Central African Republic,Sub-Saharan Africa
33,Canada,North America
34,Switzerland,Europe & Central Asia
35,Channel Islands,Europe & Central Asia
36,Chile,Latin America & Caribbean
37,China,East Asia & Pacific
38,Côte d'Ivoire,Sub-Saharan Africa
39,Cameroon,Sub-Saharan Africa
40,Congo Dem. Rep.,Sub-Saharan Africa
41,Congo Rep.,Sub-Saharan Africa
42,Colombia,Latin America & Caribbean
43,Comoros,Sub-Saharan Africa
44,Cabo Verde,Sub-Saharan Africa
45,Costa Rica,Latin America & Caribbean
46,Cuba,Latin America & Caribbean
47,Curaçao,Latin America & Caribbean
48,Cayman Islands,Latin America & Caribbean
49,Cyprus,Europe & Central Asia
50,Czechia,Europe & Central Asia
51,Germany,Europe & Central Asia
52,Djibouti,Middle East & North Africa
53,Dominica,Latin America & Caribbean
54,Denmark,Europe & Central Asia
55,Dominican Republic,Latin America & Caribbean
56,Algeria,Middle East & North Africa
57,Ecuador,Latin America & Caribbean
